time,open,high,low,close,ATVV,Plot
1736947800,2683.308,2694.2,2683.308,2693.8,33841.65,27232.535000000014
1736949600,2693.77,2696.06,2685.625,2689.56,36959.85,28675.885000000017
1736951400,2689.46,2690.61,2678.005,2681.96,40420.75,30333.295000000013
1736953200,2682.02,2683.02,2676.439,2681.36,43420.55,32181.775000000012
1736955000,2681.429,2682.608,2677.279,2678.41,44966.85,34052.01000000002
1736956800,2678.403,2684.81,2676.765,2682.815,46351.05,35993.02000000002
1736958600,2682.94,2690.03,2681.365,2689.23,47988.75,38039.74000000001
1736960400,2689.239,2692.96,2688.249,2690.87,48898.3,40119.77000000002
1736962200,2690.823,2693.05,2690.28,2692.67,49035.95,42180.87000000002
1736964000,2692.559,2695.03,2691.799,2693.69,49161.9,44104.56000000001
1736965800,2693.555,2695.01,2690.839,2694.09,49456.5,45666.04500000002
1736967600,2694.09,2694.9,2692.319,2693.76,48910.95,46861.15500000001
1736969400,2693.75,2695.18,2692.718,2694.07,48258.3,47644.91000000002
1736971200,2694.07,2696,2693.129,2695.54,47518.7,48054.72500000001
1736973000,2695.49,2696.53,2694.109,2696.288,47265.7,48284.610000000015
1736974800,2696.25,2697.42,2694.56,2694.98,45902.6,48239.76500000001
1736976600,2695.06,2696.88,2693.65,2695.719,44586.3,47899.520000000004
1736978400,2696.26,2696.26,2696.26,2696.26,42969.3,47306.62000000001
1736982000,2695.22,2697.798,2693.71,2695.98,41389.5,46541.975000000006
1736983800,2695.999,2696.22,2694.435,2694.625,39050.75,45530.86000000001
1736985600,2694.72,2698.22,2692.648,2696.2,35520.9,44137.30000000001
1736987400,2696.2,2697.659,2694.54,2695.045,33016.6,42547.865000000005
1736989200,2695.121,2699.978,2694.245,2699.661,31108.35,40832.87000000001
1736991000,2699.7,2702.15,2695.315,2696.02,29460.05,39027.005000000005
1736992800,2696.01,2698.09,2695.005,2696.42,27888.5,37089.28500000001
1736994600,2696.505,2697.94,2695.61,2697.33,26258.45,35124.87000000001
1736996400,2697.34,2697.81,2695.545,2696.265,24763.35,33142.57500000001
1736998200,2696.24,2698.52,2695.96,2697.32,23438.2,31189.465000000007
1737000000,2697.07,2698.02,2696.46,2696.85,22565.05,29307.020000000008
1737001800,2696.85,2697.99,2696.75,2697.38,21411.9,27543.13500000001
1737003600,2697.24,2697.45,2694.23,2694.47,20841.8,26075.22500000001
1737005400,2694.72,2695.76,2693.65,2694.59,21080.05,24881.57000000001
1737007200,2694.588,2695.59,2689.725,2691.81,21679.3,23938.66500000001
1737009000,2691.903,2694.81,2691.448,2694.02,22207,23213.360000000008
1737010800,2693.83,2698.858,2693.4,2696.908,22322.6,22656.77000000001
1737012600,2697.14,2699.888,2695.955,2698.19,23311.1,22362.035000000014
1737014400,2698.171,2703.258,2696.895,2701.31,25073.75,22393.07500000001
1737016200,2701.31,2701.51,2697.299,2698.86,26819.3,22731.185000000012
1737018000,2698.86,2705.9,2697.318,2705.148,28801.15,23354.795000000013
1737019800,2705.148,2706.2,2702.929,2705.3,30344.6,24248.06500000001
1737021600,2705.215,2708.53,2704.549,2707.129,30913.25,25255.210000000014
1737023400,2707.199,2708.29,2704.825,2707.605,31021.85,26249.390000000007
1737025200,2707.63,2709.52,2706.48,2709.06,29912.15,27072.67500000001
1737027000,2709.118,2711.178,2705.848,2706.085,29248,27776.775000000012
1737028800,2706.28,2707.38,2701.939,2702.059,29874.55,28531.970000000012
1737030600,2702.448,2705.52,2699.69,2703.64,30863.4,29287.20000000001
1737032400,2703.73,2711.65,2701.099,2709.73,32343.8,30014.20500000001
1737034200,2709.98,2718.34,2708.96,2715.358,34844.2,30816.695000000014
1737036000,2715.358,2718.29,2713.749,2716.22,37263.85,31662.965000000007
1737037800,2716.198,2719.22,2712.695,2718.45,39819.8,32610.485000000008
1737039600,2718.51,2719.43,2712.495,2717.608,42407.1,33759.87000000001
1737041400,2717.59,2719.67,2712.349,2716.85,44098.1,35067.49500000001
1737043200,2716.719,2720.21,2716.429,2718.357,45838.1,36660.09000000001
1737045000,2718.22,2722.408,2717.448,2720.39,46872.65,38422.55500000001
1737046800,2720.19,2723.04,2719.189,2722.32,47391.4,40174.240000000005
1737048600,2722.31,2724.744,2720.869,2721.7,47639,41851.80000000001
1737050400,2721.7,2723.34,2717.565,2717.758,47310.5,43348.47000000001
1737052200,2717.82,2718.9,2714.605,2715.17,47405.85,44604.63500000001
1737054000,2715.158,2717.14,2714.815,2715.46,46937.6,45572.01000000001
1737055800,2715.493,2716.11,2714.498,2715.21,46384.65,46228.49500000001
1737057600,2715.2,2716.78,2714.305,2715.535,45799.65,46567.750000000015
1737059400,2715.558,2717.1,2714.96,2715.71,45701.7,46728.110000000015
1737061200,2715.665,2715.88,2712.06,2712.595,45196.5,46663.95000000002
1737063000,2712.721,2714.796,2712.36,2713.745,43944.95,46371.180000000015
1737068400,2714.6,2714.95,2713.19,2713.52,41928.8,45824.92000000002
1737070200,2713.373,2714.95,2712.195,2714.61,40104.95,45071.51500000002
1737072000,2714.482,2715.58,2713.638,2714.09,37830,44123.46500000001
1737073800,2714.01,2716.11,2713.935,2714.509,35534.35,42936.31500000002
1737075600,2714.65,2714.81,2709.68,2710.055,34497.75,41692.330000000016
