time,open,high,low,close,Volume Delta (Open),Volume Delta (High,Volume Delta (Low),Volume Delta (Close)
1739315700,2897.935,2900.15,2897.805,2899.55,0,1397,0,960
1739316600,2899.77,2900.652,2898.828,2900.377,0,903,-303,903
1739317500,2900.41,2900.761,2898.155,2898.4,0,706,-1348,-856
1739318400,2898.441,2898.9,2895.005,2897.185,0,291,-1769,-631
1739319300,2897.155,2897.81,2894.845,2895.67,0,972,-809,-391
1739320200,2895.666,2896.09,2892.935,2893.125,0,398,-2491,-2491
1739321100,2893.211,2893.78,2889.086,2892.26,0,687,-6431,-2174
1739322000,2892.135,2897.72,2890.735,2891.536,0,8469,0,2648
1739322900,2891.75,2893.76,2889.345,2892.02,0,5080,0,3641
1739323800,2891.857,2894.78,2883.345,2893.7,0,0,-5849,-1453
1739324700,2893.465,2895.95,2892.345,2893.34,0,4512,-437,446
1739325600,2893.125,2895.75,2892.515,2894.877,0,7782,0,6466
1739326500,2894.877,2896.36,2893.275,2895.93,0,4963,-933,3723
1739327400,2895.897,2897.84,2893.448,2895.166,0,1207,-3777,-134
1739328300,2895.35,2897.15,2891.585,2892.49,0,1058,-6690,-6602
1739329200,2892.386,2893.08,2887.535,2888.06,0,0,-5574,-5574
1739330100,2888.066,2891.68,2886.988,2889.65,0,5345,-1660,538
1739331000,2889.62,2890,2886.915,2888.045,0,761,-2822,-2822
1739331900,2888.066,2889.44,2886.615,2888.886,0,1797,-1212,554
1739332800,2888.886,2889.04,2887.695,2888.506,0,0,-2273,-1560
1739333700,2888.385,2890.48,2888.205,2889.545,0,1399,-309,1300
1739334600,2889.627,2889.921,2884.865,2886.76,0,2280,-1476,788
1739335500,2886.76,2887.98,2883.895,2885.33,0,1845,-1578,1029
1739336400,2885.413,2886.19,2883.905,2884.99,0,1013,-2021,1013
1739337300,2884.957,2885.85,2883.47,2885.44,0,2708,-1921,2708
1739338200,2885.55,2887.83,2884.565,2887.366,0,1188,-1989,738
1739339100,2887.377,2888.041,2885.528,2886.3,0,1627,-3408,-1839
1739340000,2886.3,2891.86,2885.435,2891.3,0,11130,-1726,11130
1739340900,2891.326,2894.76,2888.635,2890.13,0,3575,-1619,-54
1739341800,2890.12,2890.74,2886.565,2888.05,0,0,-5726,-3782
1739342700,2888.04,2894.33,2887.465,2892.666,0,6343,0,6343
1739343600,2892.676,2895.5,2891.645,2893.595,0,5736,-407,-407
1739344500,2893.6,2895.82,2891.615,2894.617,0,8457,-1083,5755
1739345400,2894.73,2895.18,2890.615,2892.94,0,0,-6613,-5758
1739346300,2892.94,2893.96,2892.115,2892.76,0,1051,-5483,-4047
1739347200,2892.757,2893.878,2888.295,2889.925,0,687,-7149,-5703
1739348100,2890.037,2892.2,2887.865,2891.55,0,3828,-3074,3629
1739349000,2891.545,2894.02,2891.055,2893.14,0,4422,-61,-61
1739349900,2893.016,2893.17,2890.635,2891.565,0,1056,-1839,34
1739350800,2891.68,2893.02,2890.115,2891.165,0,1556,-2600,-584
1739351700,2891.36,2893.44,2889.385,2889.55,0,3139,-498,-498
1739352600,2889.526,2891.04,2888.635,2890.47,0,3058,-1353,2277
1739353500,2890.446,2890.6,2886.148,2886.67,0,0,-9027,-9027
1739354400,2886.697,2888.61,2886.135,2887.086,0,2358,-656,2358
1739355300,2887.17,2889.77,2886.609,2889.505,0,5916,-296,5916
1739356200,2889.586,2889.92,2879.098,2880.887,0,0,-7181,-5266
1739357100,2881.01,2885.74,2880.875,2882.717,0,2310,-335,383
1739358000,2882.74,2883.81,2879.425,2880.34,0,0,-8204,-7224
1739358900,2880.327,2881.78,2879.625,2880.79,0,2690,-2256,1368
1739359800,2880.79,2885.95,2880.655,2883.625,0,6880,0,3276
1739360700,2883.76,2883.79,2879.159,2879.641,0,65,-3716,-3716
1739361600,2879.63,2883.06,2878.718,2881.97,0,3469,-1130,-454
1739362500,2881.97,2884.03,2880.925,2882.63,0,1546,-2219,-92
1739363400,2882.475,2884.45,2880.669,2881.85,0,195,-3134,-1878
1739364300,2881.73,2886,2881.505,2885.104,0,10623,0,10623
1739365200,2884.94,2885.74,2876.405,2878.86,0,2366,-14701,-14701
1739366100,2878.705,2880.01,2873.085,2878.51,0,5738,-2153,5738
1739367000,2876.9,2878.81,2863.685,2871.54,0,2631,-7116,-3287
1739367900,2871.362,2885.63,2870.405,2884.737,0,12658,-1549,12658
1739368800,2884.75,2894.36,2881.695,2893.862,0,2228,-7745,2228
1739369700,2893.71,2896.31,2889.908,2895.5,0,2889,-7138,-882
1739370600,2895.64,2898.06,2892.235,2893.406,0,2059,-11574,-9685
1739371500,2893.295,2896,2889.405,2894.48,0,1917,-7318,285
1739372400,2894.46,2894.9,2886.2,2888.555,0,0,-13367,-9747
1739373300,2888.73,2894.72,2887.405,2892.48,0,3983,-2888,-752
1739374200,2892.47,2895.78,2891.705,2894.69,0,5392,0,2948
1739375100,2894.656,2895.95,2892.715,2894.6,0,7086,-1473,2651
1739376000,2894.65,2896.48,2891.945,2893.97,0,5318,-1910,937
1739376900,2893.97,2894.55,2891.935,2893.62,0,0,-8294,-2158
1739377800,2893.62,2897.35,2892.835,2897.237,0,4027,-905,3901
1739378700,2897.045,2904.52,2896.565,2902.355,0,9669,0,7616
1739379600,2902.427,2909.19,2902.115,2908.717,0,9366,-200,9366
1739380500,2908.72,2908.81,2903.095,2905.68,0,598,-7117,-325
1739381400,2905.57,2906.74,2901.735,2902.766,0,0,-10149,-7741
1739382300,2902.75,2904.33,2901.785,2902.73,0,2083,-5351,-5304
1739383200,2902.618,2903.8,2900.588,2902.25,0,706,-4388,-1449
1739384100,2902.27,2903.05,2900.795,2901.835,0,2242,-3357,-1859
1739385000,2901.986,2903.2,2900.895,2901.6,0,5094,-1536,3584
1739385900,2901.7,2902.68,2900.245,2901.06,0,1153,-1409,397
1739386800,2901.106,2901.84,2896.575,2897.82,0,223,-5436,-4590
1739387700,2897.82,2898.39,2893.385,2894.986,0,2985,-397,1974
1739388600,2894.98,2896.78,2893.775,2895.16,0,2171,-2982,-2982
1739389500,2895.146,2899.17,2894.43,2897.83,0,8060,0,5082
1739390400,2897.675,2897.95,2895.305,2897.83,0,2143,-2563,2143
1739391300,2897.638,2900.24,2897.175,2899.67,0,3401,-1722,1357
1739392200,2899.72,2901,2899.265,2900.397,0,4681,0,4681
1739393100,2900.41,2901.45,2899.345,2900.84,0,2230,-4703,-607
1739394000,2900.851,2901.73,2899.915,2900.906,0,0,-1730,-1629
1739394900,2900.917,2903.92,2900.785,2902.8,0,4779,0,2514
1739395800,2902.84,2903.43,2901.795,2903.19,0,1728,-1071,1728
1739396700,2902.73,2904.36,2902.71,2903.975,0,845,-1982,-1814
1739397600,2903.86,2903.86,2903.86,2903.86,0,0,-1,-1
1739401200,2901.61,2905.37,2901.61,2904.018,0,194,-1835,-1835
1739402100,2904.08,2904.26,2901.655,2901.89,0,218,-1778,-1474
1739403000,2901.92,2902.34,2900.225,2901.88,0,341,-1361,-781
1739403900,2901.821,2906.398,2901.575,2905.498,0,3668,0,2719
1739404800,2905.677,2908.443,2904.228,2907.85,0,2519,-628,2519
1739405700,2907.746,2908.5,2904.338,2906.265,0,475,-1787,-162
1739406600,2906.306,2908.91,2905.775,2908.69,0,3198,-1488,3198
1739407500,2908.677,2909.13,2905.46,2906.23,0,0,-8915,-8915
1739408400,2906.23,2907.15,2903.088,2905.415,0,801,-5195,801
1739409300,2905.59,2906.58,2901.305,2902.486,0,688,-7325,-4792
1739410200,2902.37,2904.61,2901.188,2904.08,0,4289,-509,3413
1739411100,2903.985,2907.43,2903.985,2905.915,0,1160,-5350,-5350
1739412000,2906.01,2907.18,2905.108,2906.088,0,2551,-1238,1015
1739412900,2906.35,2907.66,2906.118,2907.04,0,3556,0,2911
1739413800,2907.21,2909,2906.718,2908.36,0,1079,-2338,-1279
1739414700,2908.1,2909,2906.408,2908.81,0,353,-3294,-817
1739415600,2908.77,2909.08,2907.166,2908.74,0,4986,-381,4426
1739416500,2908.713,2917.131,2908.625,2914.97,0,8728,0,5330
1739417400,2914.986,2917.782,2913.938,2916.355,0,4062,-1807,2257
1739418300,2916.385,2918.08,2915.915,2916.51,0,2313,-648,-122
1739419200,2916.42,2918.63,2916.045,2918.385,0,1590,-627,1346
1739420100,2918.517,2918.53,2916.048,2917.58,0,0,-2751,-1016
1739421000,2917.577,2918.88,2916.395,2917.41,0,2110,-614,-614
1739421900,2917.246,2919.18,2916.555,2918.49,0,12,-2378,-1038
1739422800,2918.377,2920.47,2917.746,2919.797,0,2880,-1085,1943
1739423700,2919.79,2922.81,2919.675,2922.238,0,3197,-9,2411
1739424600,2922.366,2922.49,2920.14,2920.81,0,0,-4875,-2518
1739425500,2920.82,2921.03,2916.405,2917.886,0,0,-10270,-10270
1739426400,2918.04,2918.94,2914.315,2917.266,0,0,-6511,-919
1739427300,2917.42,2918.05,2915.005,2915.977,0,73,-5214,-5214
1739428200,2916.03,2916.16,2912.348,2913.997,0,1717,-2163,-1578
1739429100,2913.95,2916.37,2913.335,2916.01,0,6367,0,6367
1739430000,2915.855,2917.57,2914.025,2916.365,0,3977,-2132,2466
1739430900,2916.62,2918.03,2914.305,2916.23,0,2166,-3526,-3526
1739431800,2916.227,2920.69,2912.995,2915.67,0,2788,-8738,-3864
1739432700,2915.67,2918.65,2914.225,2914.4,0,4832,-2831,-2831
1739433600,2914.4,2918.12,2910.385,2910.726,0,7382,0,1977
1739434500,2910.657,2915.51,2910.355,2912.095,0,6076,0,4192
1739435400,2912.25,2914.03,2909.305,2911.645,0,988,-5375,-992
1739436300,2911.69,2913.5,2910.448,2911.537,0,1199,-4202,-2924
1739437200,2911.65,2914.08,2909.645,2912.82,0,7343,-1292,4814
1739438100,2912.7,2914.74,2912.185,2913.66,0,2313,-329,-329
1739439000,2913.66,2915.05,2912.655,2914.05,0,3830,-654,3744
1739439900,2913.865,2918.42,2913.835,2915.3,0,5088,-1100,595
1739440800,2915.326,2918.05,2913.725,2917.09,0,3665,-1070,3665
1739441700,2916.927,2918.16,2915.135,2916.16,0,1335,-2357,-1195
1739442600,2915.95,2918.377,2915.145,2918.086,0,5057,0,4100
1739443500,2918.12,2919.42,2916.905,2918.01,0,4628,0,4076
