time,open,high,low,close,Basis,Upper,Lower,ATVV,Plot,Histogram,MACD,Signal,Bollinger BandWidth,Highest Expansion,Lowest Contraction
1738239300,2778.64,2779.21,2777.7,2778.53,2775.3505000000227,2782.019261384489,2768.6817386155567,1652.55,1619.4149999999995,-0.2112117134444942,3.62367748644283,3.834889199887324,0.48057075201607846,0.8678291561732286,0.11174937276380681
1738240200,2778.56,2780.81,2778.07,2780.42,2776.0180000000228,2781.8589574046664,2770.177042595379,1668.3,1634.9349999999997,-0.1603715412272968,3.634424773353203,3.7947963145804997,0.4208155281877556,0.8678291561732286,0.11174937276380681
1738241100,2780.4,2781.12,2779.61,2780.14,2776.5710000000227,2781.7347733695447,2771.4072266305006,1660.3,1645.0549999999996,-0.1725643445332179,3.5790908839139774,3.7516552284471953,0.37195327398593175,0.8678291561732286,0.11174937276380681
1738242000,2780.19,2782.94,2780.19,2781.89,2777.1200000000226,2782.0907061280654,2772.14929387198,1677.75,1653.5099999999995,-0.09368266225051558,3.634551900634051,3.7282345628845666,0.35797560984349114,0.8678291561732286,0.11174937276380681
1738242900,2781.98,2782.16,2779.79,2780.49,2777.514500000023,2782.233684082264,2772.795315917782,1706.8,1661.7899999999995,-0.16266448422680968,3.5249039576010546,3.6875684418278643,0.33981346144123176,0.8678291561732286,0.11174937276380681
1738243800,2780.15,2784.45,2778.53,2783.64,2778.101000000023,2782.803875226958,2773.3981247730876,1769.9,1675.2349999999994,-0.02996702935201956,3.6501096551378396,3.680076684489859,0.33856762061100076,0.8678291561732286,0.11174937276380681
1738244700,2783.65,2785.96,2782.97,2785.72,2778.578500000023,2784.24145774343,2772.9155422566155,1813.45,1692.0399999999995,0.15396626985679163,3.8725345218108487,3.718568251954057,0.40761545829331697,0.8678291561732286,0.11174937276380681
1738245600,2785.74,2786.05,2782.75,2783.86,2779.0250000000224,2784.8720658805296,2773.177934119515,1847.65,1710.9549999999995,0.10857860049570434,3.8542915025736875,3.745712902077983,0.42079980428439245,0.8678291561732286,0.11174937276380681
1738246500,2783.89,2788.13,2782.25,2786.84,2779.6035000000224,2786.1030669397987,2773.103933060246,1884.55,1734.2099999999996,0.230466307631775,4.033795786617702,3.803329478985927,0.4676614445028749,0.8678291561732286,0.11174937276380681
1738247400,2787.15,2787.15,2780.04,2784.04,2780.0600000000227,2786.4585560407004,2773.661443959345,1941.05,1762.2299999999996,0.08141804887617576,3.9051020400811467,3.823683991204971,0.46031783779325997,0.8678291561732286,0.11174937276380681
1738248300,2784.05,2789.04,2783.28,2787.57,2780.7275000000227,2787.3319071956,2774.1230928044456,2006.7,1797.6449999999998,0.174145975379135,4.04136646042889,3.8672204850497547,0.47501290188103956,0.8678291561732286,0.11174937276380681
